
=== Détection réalisée sur EMR Serverless, données lues depuis MSK Serverless (IAM) ===
+-------------+------------------+------------------+-----------------------+------------------------+----------------------+-------------------+
|unit_id      |vibration_std     |temperature_rise  |current_imbalance_ratio|predicted_bearing_defect|predicted_phase_defect|predicted_defective|
+-------------+------------------+------------------+-----------------------+------------------------+----------------------+-------------------+
|unit_0cdf85c5|0.5873059635221131|14.41226027995852 |0.9890413991970043     |false                   |false                 |false              |
|unit_11182801|0.5836642771600313|14.854981019327461|0.9902123989798165     |false                   |false                 |false              |
|unit_11ec2b4e|2.870714831244765 |35.305615352793865|0.985759411356642      |true                    |false                 |true               |
|unit_1951bd5b|0.583636721058698 |14.617152134640573|0.6544447173319892     |false                   |true                  |true               |
|unit_1eca9882|0.5880348369221413|14.106170065840153|0.9836489275105799     |false                   |false                 |false              |
|unit_2bd2c935|0.5869648194313992|14.427079016499988|0.9886537967733033     |false                   |false                 |false              |
|unit_2cd9f4e4|0.5823153959666595|14.967639958801229|0.6506065797862284     |false                   |true                  |true               |
|unit_2fd2adf3|2.888727487835073 |34.681551787393175|0.991629293355861      |true                    |false                 |true               |
|unit_361ddefe|0.58251543426932  |15.155875297438921|0.9817697229883571     |false                   |false                 |false              |
|unit_38e4a632|0.5821649365003909|14.357214950727744|0.9916904946176418     |false                   |false                 |false              |
|unit_486913c6|0.5859556712823821|14.916803866806877|0.9953956946189192     |false                   |false                 |false              |
|unit_48fc02c9|0.5857295641065315|15.19055774516081 |0.9879494956323273     |false                   |false                 |false              |
|unit_4b4b0ecf|0.5893126129679588|14.716609959874113|0.979456655513451      |false                   |false                 |false              |
|unit_57a748cb|0.5821159701351187|14.760569183551702|0.9728394841563831     |false                   |false                 |false              |
|unit_595834ab|0.5830952757657252|14.25861092380504 |0.9889876069201747     |false                   |false                 |false              |
|unit_5f249d50|0.588199702566896 |14.90556268248984 |0.9902859385663496     |false                   |false                 |false              |
|unit_65681259|0.5823640326342046|14.8891382960274  |0.983497686101941      |false                   |false                 |false              |
|unit_67190edc|0.5865054187673645|14.676718725071286|0.9955566593222656     |false                   |false                 |false              |
|unit_6840040e|0.5842436010367662|14.31869012202272 |0.9914101335797714     |false                   |false                 |false              |
|unit_73c136b0|0.5840431173452698|14.143027721732828|0.9873553582801455     |false                   |false                 |false              |
|unit_75414b04|0.5781477120291051|14.736854020881989|0.9971335829517585     |false                   |false                 |false              |
|unit_7b87382d|0.5871399989100639|14.266283769286918|0.986742174406776      |false                   |false                 |false              |
|unit_8b26be2b|0.5855235984220456|14.63459759636936 |0.9896105714107042     |false                   |false                 |false              |
|unit_8be981da|0.5829373508162301|14.059227193942096|0.9952568299695412     |false                   |false                 |false              |
|unit_8ed24ae7|0.5833171100606767|14.449609867236799|0.990459544980862      |false                   |false                 |false              |
|unit_90eeb828|2.858841107945419 |35.32531347352492 |0.9954224892790656     |true                    |false                 |true               |
|unit_937f6d40|0.5809877891660262|14.116247260011562|0.987611375907081      |false                   |false                 |false              |
|unit_94508b54|0.5844756421802209|15.055327737079402|0.6586884201777178     |false                   |true                  |true               |
|unit_9b21b4e5|2.885340772247566 |34.459741138833984|0.9866623519101192     |true                    |false                 |true               |
|unit_9c56de4b|0.5832285529658526|14.175752380006092|0.989868994379248      |false                   |false                 |false              |
|unit_9e170cc4|0.5882301608082013|14.151800015645097|0.6485529943220462     |false                   |true                  |true               |
|unit_9f0ef933|0.5871426799436055|15.121700457848725|0.9843529593118364     |false                   |false                 |false              |
|unit_a18cd559|0.5892910246498515|14.601299764260059|0.9790453594447519     |false                   |false                 |false              |
|unit_a44d7e51|0.5824562155322646|14.180443218018006|0.9951585784661583     |false                   |false                 |false              |
|unit_a94363db|0.5895612611616629|14.580914127628468|0.9903559412694031     |false                   |false                 |false              |
|unit_ab0b0ee2|0.5829314448628528|14.245820105364235|0.9923902401145143     |false                   |false                 |false              |
|unit_b0c582cc|0.5864673959187727|14.452959392051866|0.6577195864670147     |false                   |true                  |true               |
|unit_b6cedfe6|2.8812089783321153|35.44104899111848 |0.9790401559677512     |true                    |false                 |true               |
|unit_ba5867fe|0.5852252627167194|14.094503312499462|0.992159740020022      |false                   |false                 |false              |
|unit_bfd0963b|0.5872043945193298|14.769438757764156|0.9964940593027656     |false                   |false                 |false              |
|unit_c677aac7|0.5826981926936552|14.61676163961818 |0.9843808544515894     |false                   |false                 |false              |
|unit_c689916d|0.5855070746388645|14.433765155201701|0.6453807131872095     |false                   |true                  |true               |
|unit_c6e013ce|0.5871257880643114|14.141811472570094|0.9907651624444375     |false                   |false                 |false              |
|unit_c883570c|0.5872001928688105|14.196585749435293|0.9981141729512893     |false                   |false                 |false              |
|unit_c98f9b4d|0.5817733197027258|14.566111969872903|0.9873931933091115     |false                   |false                 |false              |
|unit_cca51d40|0.5802436717351949|14.628990177253314|0.9919322421530055     |false                   |false                 |false              |
|unit_d1c96ada|0.5821772274677619|14.08137834818326 |0.98598523757699       |false                   |false                 |false              |
|unit_d4c88d0d|0.5888999759622876|13.970044529320667|0.991514671587752      |false                   |false                 |false              |
